 _27.3493   _172.858
 _26.0873   _173.133
  _24.825     _173.4
 _23.5618    _173.66
 _22.2958   _173.914
 _21.0287    _174.16
 _19.7589   _174.401
  _18.489   _174.636
 _17.2192   _174.864
 _15.9472   _175.088
 _14.6738   _175.307
 _13.4008    _175.52
 _12.1273   _175.729
 _10.8527   _175.933
 _9.57697   _176.133
 _8.30102   _176.328
 _7.02454   _176.519
 _5.74714   _176.707
 _4.46942    _176.89
 _3.19109    _177.07
 _1.91313   _177.246
_0.633513   _177.419
 0.645983   _177.588
  1.92634   _177.754
  3.20676   _177.916
  4.48765   _178.076
  5.76915   _178.232
  7.05172   _178.384
  8.33373   _178.534
  9.61649    _178.68
  10.8994   _178.824
  12.1822   _178.964
  13.4665   _179.101
    14.75   _179.235
  16.0338   _179.365
  17.3179   _179.492
  18.6033   _179.616
  19.8882   _179.735
  21.1735   _179.849
  22.4592   _179.956
  23.7478   _180.038
  25.0365   _180.101
  26.3258   _180.149
  27.6155   _180.182
  28.9054   _180.203
  30.1963   _180.212
  31.4872   _180.209
  32.7774   _180.196
  34.0673   _180.172
  35.3581   _180.137
  36.6478   _180.093
  37.9376   _180.039
  39.2267   _179.975
  40.5155   _179.902
  41.8038    _179.82
  43.0914   _179.729
  44.3778   _179.628
  45.6645   _179.519
  46.9498     _179.4
  48.2341   _179.273
  49.5176   _179.137
  50.7997   _178.993
  52.0818    _178.84
  53.3621   _178.678
  54.6416   _178.508
  55.9198   _178.329
   57.197   _178.142
  58.4734   _177.946
  59.7479   _177.742
  61.0209    _177.53
  62.2922   _177.309
  63.5623    _177.08
  64.8311   _176.842
  66.0982   _176.596
  67.3633   _176.342
  68.6277   _176.079
  69.8897   _175.808
  71.1499   _175.529
   72.408   _175.242
  73.6647   _174.946
  74.9199   _174.642
  76.1718    _174.33
  77.4225    _174.01
  78.6709   _173.681
  79.9172   _173.344
  81.1607   _172.999
  82.4023   _172.645
  83.6415   _172.283
  84.8785   _171.913
  86.1126   _171.535
  87.3441   _171.149
  88.5731   _170.754
  89.7996   _170.351
   91.024    _169.94
  92.2446   _169.521
  93.4616   _169.093
  94.6767   _168.657
  95.8891   _168.213
  97.0979   _167.761
  98.3035   _167.301
  99.5061   _166.832
  100.706   _166.356
  101.902    _165.87
  103.095   _165.378
  104.284   _164.876
   105.47   _164.367
  106.652   _163.849
  107.831   _163.323
  109.007    _162.79
  110.178   _162.248
  111.346   _161.697
   112.51   _161.139
   113.67   _160.573
  114.827   _159.999
  115.979   _159.416
  117.128   _158.825
  118.271   _158.227
  119.412    _157.62
  120.547   _157.006
  121.679   _156.383
  122.806   _155.753
  123.927   _155.115
  125.045   _154.469
  126.158   _153.816
  127.266   _153.154
   128.37   _152.485
  129.469   _151.808
  130.563   _151.123
  131.652   _150.431
  132.737   _149.731
  133.816   _149.023
  134.891   _148.308
   135.96   _147.585
  137.024   _146.854
  138.083   _146.117
  139.137   _145.371
  140.186   _144.619
  141.229   _143.858
  142.267   _143.091
    143.3   _142.317
  144.327   _141.535
  145.349   _140.746
  146.365    _139.95
  147.375   _139.146
   148.38   _138.336
  149.379   _137.517
  150.369    _136.69
  151.354   _135.855
  152.331    _135.01
    153.3   _134.158
  154.263   _133.297
  155.217   _132.429
  156.164   _131.552
  157.103   _130.666
  158.034   _129.773
  158.958   _128.871
  159.873   _127.962
  160.781   _127.044
   161.68   _126.118
  162.571   _125.184
  163.454   _124.242
  164.328   _123.292
  165.194   _122.335
  166.051   _121.369
  166.899   _120.397
  167.738   _119.416
  168.569   _118.428
  169.391   _117.432
  170.203   _116.429
  171.007   _115.418
  171.801     _114.4
  172.586   _113.375
  173.362   _112.343
  174.128   _111.304
  174.884   _110.258
  175.632   _109.205
  176.369   _108.146
  177.097    _107.08
  177.814   _106.008
  178.522   _104.929
  179.221   _103.843
  179.909   _102.752
  180.587   _101.654
  181.256   _100.551
  181.914   _99.4402
  182.564    _98.323
  183.203   _97.2004
  183.831   _96.0723
   184.45   _94.9385
  185.058      _93.8
  185.655   _92.6561
  186.243   _91.5068
   186.82   _90.3522
  187.387   _89.1921
  187.944   _88.0276
   188.49   _86.8586
  189.026   _85.6841
  189.552   _84.5049
  190.067   _83.3217
  190.572   _82.1329
  191.066    _80.941
   191.55   _79.7442
  192.024   _78.5432
  192.487   _77.3386
   192.94     _76.13
  193.382   _74.9174
